seed,mode,severity,variant,f1,precision,recall,density_err,orbit_violations,rot_sym_error
7,dropout,0.0,orbit_tied,0.4966139660823082,0.47509357932241,0.5574887069975775,0.0975485836627141,0.0,0.02403343179199228
7,dropout,0.0,orbit_tied_aug,0.4899767045347526,0.48139478064861213,0.5345218623809841,0.09385293148880104,0.0,0.024146316837068752
7,dropout,0.0,free,0.49218076373251135,0.4814245686209029,0.54163473881807,0.0943939393939394,5.316666666666666,0.02592096992832854
7,dropout,0.0,free_aug,0.48333479789108424,0.4756270403493574,0.5283975044796547,0.0943939393939394,3.3833333333333333,0.026075010188833285
7,dropout,0.0,proj_full_aug,0.4822869032676285,0.4751533374033374,0.5261092025455643,0.09158020421607378,0.0,0.024719145743365825
7,dropout,0.1,orbit_tied,0.5068717365952586,0.48230818772401435,0.5738490673157106,0.09716979578392622,0.0,0.02449619844604011
7,dropout,0.1,orbit_tied_aug,0.47934010720075443,0.47201816804594593,0.5217613610140966,0.09309535573122531,0.0,0.025549307350125727
7,dropout,0.1,free,0.458429511863987,0.4491221040108977,0.5048109629129981,0.0943939393939394,27.2,0.03528257398617495
7,dropout,0.1,free_aug,0.48391656613451317,0.4755654963893407,0.5301790167439946,0.0943939393939394,7.933333333333334,0.026920194725184365
7,dropout,0.1,proj_full_aug,0.4854507503894273,0.47901234567901235,0.5280889153397683,0.0912014163372859,0.0,0.024761503070237646
7,dropout,0.2,orbit_tied,0.4991508856876227,0.47460840344356753,0.5656360255945805,0.09830615942028985,0.0,0.025302006200678507
7,dropout,0.2,orbit_tied_aug,0.48347172814087475,0.4773539706710205,0.5229217248105561,0.09233777997364956,0.0,0.02597705613382962
7,dropout,0.2,free,0.42601941788878167,0.41824611754059887,0.4679339275087035,0.0943939393939394,35.166666666666664,0.04282800151215272
7,dropout,0.2,free_aug,0.4867526310575879,0.47817829265783673,0.5335438193165102,0.0943939393939394,10.716666666666667,0.027907909302810542
7,dropout,0.2,proj_full_aug,0.48959099723622296,0.48264118391896177,0.5337927397571812,0.09101202239789198,0.0,0.025020430955337916
7,dropout,0.3,orbit_tied,0.4852374717560485,0.46322537515964246,0.547209526655617,0.09698040184453229,0.0,0.026299474536505774
7,dropout,0.3,orbit_tied_aug,0.4870898234779944,0.4813538330549825,0.5272110720227464,0.09176959815546774,0.0,0.025062133703499984
7,dropout,0.3,free,0.4001887864084068,0.39496861545311884,0.43650925082494696,0.0943939393939394,37.88333333333333,0.045870069409969225
7,dropout,0.3,free_aug,0.4829821308168832,0.47449855698255466,0.5292703142723317,0.0943939393939394,12.533333333333333,0.028080620028030624
7,dropout,0.3,proj_full_aug,0.4876868408371898,0.47990281734726176,0.5328476238663841,0.09120141633728591,0.0,0.024954918258507194
11,dropout,0.0,orbit_tied,0.49698341234042903,0.4608973613391717,0.5647770105589632,0.08478617698726393,0.0,0.02252279762171492
11,dropout,0.0,orbit_tied_aug,0.5130591274133514,0.45162588183421515,0.6230004898638128,0.11521382301273607,0.0,0.025894324925979897
11,dropout,0.0,free,0.5155069488233157,0.4660583612646073,0.6034453246417171,0.096939503732982,2.6166666666666667,0.02582937360163321
11,dropout,0.0,free_aug,0.5106044802290308,0.46217243409729136,0.5961510015472957,0.096939503732982,2.283333333333333,0.02451180881351822
11,dropout,0.0,proj_full_aug,0.5101153575564984,0.46124455337690634,0.5980364629012456,0.09989487263943785,0.0,0.02720367579995742
11,dropout,0.1,orbit_tied,0.49314537292300464,0.45704223966885604,0.5603665705056087,0.08447052042160738,0.0,0.022387182306123785
11,dropout,0.1,orbit_tied_aug,0.5049641561245946,0.44442368950947386,0.6135883673411449,0.1144562472551603,0.0,0.027222636935322182
11,dropout,0.1,free,0.47035460658779144,0.4256388486275931,0.5502954209380315,0.096939503732982,24.5,0.035845366799196
11,dropout,0.1,free_aug,0.51015609622139,0.4609211356705016,0.5969073565898798,0.096939503732982,5.633333333333334,0.02615925893024463
11,dropout,0.1,proj_full_aug,0.5026428240811879,0.45425899571298056,0.5892880896413879,0.09875850900307422,0.0,0.0274588088178492
11,dropout,0.2,orbit_tied,0.4922241728592261,0.4537535855168294,0.562938228475532,0.08573314668423365,0.0,0.02350105487703565
11,dropout,0.2,orbit_tied_aug,0.5048062998856228,0.4447374480095068,0.6113912121082749,0.1144562472551603,0.0,0.027907142347829553
