topk_ratio,objective,precision,recall,f1,tp,fp,fn,tn,precision_at_k,edge_density_error,orbit_f1,chamfer,hausdorff,rot_self_chamfer,pred_edge_count,target_edge_count
0.14,0.1470636422621808,0.5570693041526374,0.25752269832766755,0.345541388474302,30.466666666666665,24.408333333333335,97.90833333333333,269.51666666666665,0.5011303239191572,0.1725893445322793,0.3509250257390745,0.04652443529727558,0.2890796393776933,0.00030354001505100275,54.875,128.375
0.15000000000000002,0.19884768882242482,0.5471833028083029,0.29237639167821305,0.37361583907495005,34.925,29.0,93.45,264.925,0.5011303239191572,0.15197230456741326,0.37838610079361096,0.04113386396008233,0.2699769850820303,0.0005614328201547202,63.925,128.375
0.16,0.19884768882242482,0.5471833028083029,0.29237639167821305,0.37361583907495005,34.925,29.0,93.45,264.925,0.5011303239191572,0.15197230456741326,0.37838610079361096,0.04113386396008233,0.2699769850820303,0.0005614328201547202,63.925,128.375
0.17,0.2490579444073142,0.543275462962963,0.3289758683159864,0.40156094314468793,39.69166666666667,33.28333333333333,88.68333333333334,260.64166666666665,0.5011303239191572,0.1326113032498902,0.40443311770990314,0.03613543741715451,0.22760126907378436,0.0011130143292188103,72.975,128.375
0.18000000000000002,0.2490579444073142,0.543275462962963,0.3289758683159864,0.40156094314468793,39.69166666666667,33.28333333333333,88.68333333333334,260.64166666666665,0.5011303239191572,0.1326113032498902,0.40443311770990314,0.03613543741715451,0.22760126907378436,0.0011130143292188103,72.975,128.375
0.19,0.2867952956534851,0.5308137838468721,0.35950401633721346,0.4200179913605558,43.50833333333333,38.516666666666666,84.86666666666666,255.40833333333333,0.5011303239191572,0.11584582235397452,0.42449826646235583,0.03496473021805287,0.21186966908474764,0.0010643914276294321,82.025,128.375
0.2,0.2867952956534851,0.5308137838468721,0.35950401633721346,0.4200179913605558,43.50833333333333,38.516666666666666,84.86666666666666,255.40833333333333,0.5011303239191572,0.11584582235397452,0.42449826646235583,0.03496473021805287,0.21186966908474764,0.0010643914276294321,82.025,128.375
0.21000000000000002,0.31461781711117687,0.5135397985705002,0.3851179979207911,0.4312230885758233,46.675,44.45,81.7,249.475,0.5011303239191572,0.10139588823012735,0.435274517489404,0.03397666530994078,0.2143835659449299,0.0015871059938953119,91.125,128.375
0.22000000000000003,0.31461781711117687,0.5135397985705002,0.3851179979207911,0.4312230885758233,46.675,44.45,81.7,249.475,0.5011303239191572,0.10139588823012735,0.435274517489404,0.03397666530994078,0.2143835659449299,0.0015871059938953119,91.125,128.375
0.23,0.3433384345539933,0.506441798941799,0.4150548773961047,0.4468875191499529,50.56666666666667,49.65833333333333,77.80833333333334,244.26666666666668,0.5011303239191572,0.09004268225735616,0.4511193736924694,0.0324601355008781,0.21006772300849358,0.0020292336413613205,100.225,128.375
