seed,mode,severity,variant,f1,precision,recall,density_err,orbit_violations,rot_sym_error
7,jitter,0.0,constrained,0.4966139660823082,0.47509357932241,0.5574887069975775,0.0975485836627141,0.0,0.02403343178579914
7,jitter,0.0,unc_proj,0.501205487208237,0.476694490056559,0.5676773175008439,0.09641222002635046,0.0,0.021140869157926363
7,jitter,0.0,unc_free,0.49218076373251135,0.4814245686209029,0.54163473881807,0.0943939393939394,5.316666666666666,0.02592096994853408
7,jitter,0.0,template,0.5303650440804832,0.4182984018115167,0.7822504461785816,0.27988334431269213,0.0,0.02655492536061364
7,jitter,0.02,constrained,0.49583271608230817,0.47431232932240996,0.5567074569975774,0.0975485836627141,0.0,0.024326455259981006
7,jitter,0.02,unc_proj,0.49919782325516227,0.47471532338989236,0.565605365983649,0.09641222002635046,0.0,0.02111895714484436
7,jitter,0.02,unc_free,0.49264189866764235,0.4820608006418011,0.5419465465877954,0.0943939393939394,5.833333333333333,0.02583992345422549
7,jitter,0.02,template,0.5307267220026056,0.4183454012765129,0.7829995788426081,0.27988334431269213,0.0,0.026195418603511558
7,jitter,0.05,constrained,0.49787498072949177,0.4763103505291006,0.5587251005512942,0.0971697957839262,0.0,0.02469613222961913
7,jitter,0.05,unc_proj,0.5024694025307499,0.47742753007456845,0.5698639477810192,0.09679100790513835,0.0,0.021336413095989666
7,jitter,0.05,unc_free,0.4897106800898253,0.47943712391826504,0.5381246526908999,0.0943939393939394,7.183333333333334,0.026374287261959558
7,jitter,0.05,template,0.531111938979605,0.4194796373635508,0.780870504971077,0.2748273495827844,0.0,0.02519234839790473
7,jitter,0.1,constrained,0.4910620381626484,0.47001027560016717,0.5506009671745642,0.09716979578392622,0.0,0.025253716355155855
7,jitter,0.1,unc_proj,0.5025082394570468,0.47859553172322566,0.5683001680453419,0.09641222002635046,0.0,0.02134842135494834
7,jitter,0.1,unc_free,0.49302228256113867,0.48361921618055265,0.5400845483284645,0.0943939393939394,9.216666666666667,0.027241765245353555
7,jitter,0.1,template,0.529148793105266,0.4194410928886977,0.7753552747981748,0.2700513285024155,0.0,0.026214094222905646
7,jitter,0.15,constrained,0.49285192070562756,0.4727493111283261,0.5514562628272379,0.09660161396574439,0.0,0.024687247196581538
