seed,f1_orbit_tied,f1_projection,f1_free
7,0.38333333333333336,0.3931623931623932,0.39999999999999997
7,0.46341463414634143,0.38211382113821135,0.39999999999999997
7,0.4335260115606936,0.36416184971098264,0.3402985074626866
7,0.375,0.375,0.3959390862944163
7,0.8039867109634552,0.7375415282392026,0.6896551724137931
7,0.44128113879003555,0.3701067615658363,0.34814814814814815
7,0.22119815668202764,0.2304147465437788,0.2403846153846154
7,0.31159420289855067,0.3188405797101449,0.32209737827715357
7,0.8131868131868132,0.8131868131868132,0.7954545454545455
7,0.6131386861313869,0.6788321167883212,0.6159695817490495
7,0.4063745019920319,0.5657370517928286,0.5
7,0.34104046242774566,0.47398843930635837,0.44179104477611936
7,0.7692307692307692,0.7692307692307692,0.7770700636942675
7,0.7272727272727272,0.7272727272727272,0.7529411764705882
7,0.23448275862068968,0.2896551724137931,0.24372759856630824
7,0.3157894736842105,0.4832214765100671,0.489795918367347
7,0.3904761904761905,0.39999999999999997,0.3582089552238806
7,0.3771929824561403,0.41228070175438597,0.43317972350230405
7,0.6845238095238096,0.6249999999999999,0.6215384615384616
7,0.7239583333333333,0.6875,0.6702702702702703
7,0.2517482517482518,0.32167832167832167,0.338235294117647
7,0.599078341013825,0.599078341013825,0.6057692307692307
7,0.43820224719101125,0.3876404494382023,0.4
7,0.45322245322245325,0.36590436590436587,0.3511777301927195
7,0.41702127659574467,0.34893617021276596,0.3628318584070796
7,0.46341463414634143,0.43414634146341463,0.41604010025062654
7,0.2181818181818182,0.3151515151515151,0.3333333333333333
7,0.6687697160883281,0.6056782334384858,0.6143790849673202
7,0.5770491803278689,0.6360655737704918,0.6462585034013605
7,0.860759493670886,0.860759493670886,0.8679245283018868
7,0.5465838509316769,0.5465838509316769,0.5555555555555555
7,0.218978102189781,0.13432835820895525,0.15503875968992248
7,0.2210242587601078,0.20485175202156333,0.21111111111111108
7,0.45454545454545453,0.45454545454545453,0.4511278195488722
7,0.618867924528302,0.739622641509434,0.7343749999999999
7,0.44155844155844154,0.4105960264900662,0.4109589041095891
7,0.5382059800664452,0.4983388704318938,0.5068493150684932
7,0.5657370517928287,0.5657370517928287,0.5867768595041323
7,0.6402640264026402,0.5808580858085809,0.5342465753424658
7,0.33507853403141363,0.3979057591623037,0.3626373626373627
7,0.3433734939759036,0.3433734939759036,0.34591194968553457
7,0.45512820512820507,0.3397435897435897,0.3654485049833887
7,0.35802469135802467,0.43209876543209874,0.44516129032258067
7,0.42068965517241375,0.6758620689655173,0.6956521739130433
7,0.7709923664122136,0.7175572519083969,0.6798418972332015
7,0.37735849056603776,0.39622641509433965,0.39408866995073893
7,0.7027027027027027,0.7027027027027027,0.6457680250783698
7,0.6068965517241379,0.6068965517241379,0.604982206405694
7,0.68,0.455,0.40932642487046633
7,0.7104477611940299,0.7104477611940299,0.7040498442367601
7,0.36491228070175435,0.43508771929824563,0.4452554744525548
7,0.6943231441048036,0.7729257641921398,0.7387387387387386
7,0.3220338983050847,0.385593220338983,0.35807860262008734
7,0.43668122270742354,0.43668122270742354,0.4587155963302752
7,0.38285714285714284,0.38285714285714284,0.3952802359882006
7,0.6008403361344538,0.5378151260504203,0.49783549783549785
7,0.5281899109792285,0.4688427299703264,0.4233128834355829
7,0.6117647058823529,0.6219512195121951,0.5679012345679013
7,0.6713286713286714,0.6713286713286714,0.6527777777777778
7,0.4,0.4736842105263158,0.4216216216216216
7,0.460377358490566,0.5509433962264151,0.5737051792828685
7,0.5057471264367815,0.38596491228070173,0.37349397590361444
7,0.4233576642335766,0.4817518248175182,0.430188679245283
7,0.5882352941176471,0.6666666666666666,0.6575342465753424
7,0.3,0.3999999999999999,0.3829787234042553
7,0.5064599483204135,0.4496124031007752,0.45040214477211793
7,0.4758620689655173,0.5379310344827586,0.5519713261648747
7,0.663157894736842,0.6203208556149732,0.6162162162162161
7,0.6198347107438017,0.6859504132231405,0.6351931330472103
7,0.3669064748201439,0.3597122302158274,0.33333333333333337
7,0.7417218543046357,0.5364238410596026,0.49146757679180886
7,0.39852398523985244,0.48708487084870844,0.46153846153846156
7,0.6306306306306306,0.6481481481481481,0.6635514018691588
7,0.5652173913043478,0.4673913043478261,0.44692737430167595
7,0.6380952380952382,0.6190476190476191,0.6169154228855721
7,0.6226415094339622,0.6226415094339622,0.6103286384976526
7,0.5714285714285714,0.5128205128205128,0.4848484848484848
7,0.6573426573426574,0.6573426573426574,0.676470588235294
7,0.5723472668810289,0.6237942122186495,0.5666666666666667
7,0.672514619883041,0.672514619883041,0.6829268292682926
7,0.5278592375366569,0.46334310850439886,0.44648318042813456
7,0.3564356435643565,0.34653465346534656,0.35467980295566504
7,0.4090909090909091,0.5426356589147286,0.5511811023622047
7,0.2578397212543554,0.2857142857142857,0.2608695652173913
7,0.40375586854460094,0.40375586854460094,0.42574257425742584
7,0.3090128755364807,0.4034334763948498,0.3513513513513513
7,0.6896551724137931,0.7586206896551724,0.7533632286995517
7,0.4827586206896552,0.4827586206896552,0.5022421524663677
7,0.5705329153605014,0.5705329153605014,0.5836065573770491
7,0.4731182795698925,0.6021505376344085,0.5810055865921788
7,0.4088397790055249,0.4088397790055249,0.4302325581395349
7,0.3866666666666667,0.3133333333333333,0.2955326460481099
7,0.6918238993710693,0.7307692307692308,0.6883116883116883
7,0.4046692607003891,0.311284046692607,0.3292181069958848
7,0.5403899721448469,0.724233983286908,0.7188405797101449
7,0.3880597014925373,0.3383084577114428,0.3125
7,0.2727272727272727,0.3422459893048128,0.37222222222222223
7,0.5804749340369393,0.7229551451187334,0.7068493150684931
7,0.6666666666666667,0.6603174603174603,0.5986842105263158
7,0.3061224489795919,0.29931972789115646,0.2756183745583039
7,0.611111111111111,0.6825396825396826,0.6666666666666667
7,0.41498559077809793,0.5244956772334293,0.4984984984984985
7,0.6493506493506493,0.6753246753246753,0.6870748299319728
7,0.27710843373493976,0.18072289156626506,0.17834394904458598
7,0.37142857142857144,0.4571428571428572,0.40975609756097564
7,0.6097560975609756,0.6097560975609756,0.593939393939394
7,0.36771300448430494,0.34977578475336324,0.3644859813084112
7,0.4596273291925465,0.31578947368421056,0.3137254901960784
7,0.5725490196078432,0.5803921568627451,0.5528455284552845
7,0.7572815533980584,0.6019417475728155,0.5628140703517588
7,0.7976190476190477,0.8095238095238095,0.7815384615384614
7,0.7540983606557378,0.6885245901639345,0.6875000000000001
7,0.4691358024691358,0.4098765432098766,0.3938618925831202
7,0.8698060941828255,0.8642659279778393,0.8645533141210374
7,0.6575342465753425,0.7123287671232875,0.7117437722419928
7,0.47887323943661975,0.39436619718309857,0.377906976744186
7,0.40579710144927533,0.33816425120772947,0.31313131313131315
7,0.5689655172413792,0.5,0.4753363228699552
7,0.6968325791855203,0.5339366515837105,0.4622641509433962
7,0.2826086956521739,0.42391304347826086,0.44571428571428573
11,0.5131578947368421,0.5569620253164557,0.5521472392638036
11,0.47382920110192833,0.4343163538873995,0.4227642276422764
11,0.4778156996587031,0.6578073089700996,0.6577181208053692
11,0.6666666666666667,0.6461538461538462,0.6770428015564202
11,0.38509316770186336,0.4431137724550898,0.43023255813953487
11,0.2857142857142857,0.3408360128617363,0.3127035830618892
11,0.435483870967742,0.4296875,0.4268774703557312
11,0.2918918918918919,0.27979274611398963,0.28421052631578947
11,0.21864951768488744,0.28482972136222906,0.26332288401253917
11,0.5234375,0.5037593984962405,0.5038167938931297
11,0.7865853658536586,0.7633136094674557,0.7724550898203594
11,0.42811501597444085,0.4174454828660436,0.43396226415094347
11,0.3910614525139665,0.4361702127659574,0.4456521739130435
11,0.2385321100917431,0.5250737463126843,0.5194029850746269
11,0.4970414201183432,0.48,0.4666666666666667
11,0.33793103448275863,0.40397350993377484,0.38255033557046975
11,0.3859649122807018,0.4406779661016949,0.3948497854077253
11,0.5517241379310346,0.5313653136531364,0.5093632958801498
11,0.5764705882352942,0.6250000000000001,0.6629834254143646
11,0.4112149532710281,0.4821428571428571,0.4909090909090909
11,0.496842105263158,0.5338809034907597,0.5217391304347826
11,0.32704402515723274,0.38787878787878793,0.4235294117647059
11,0.7538940809968847,0.7311178247734138,0.7400611620795107
11,0.5527272727272727,0.5333333333333333,0.5338078291814946
11,0.20462046204620465,0.24126984126984125,0.23794212218649516
11,0.6069651741293532,0.583732057416268,0.5922330097087378
11,0.6345609065155807,0.6136986301369863,0.6204986149584488
11,0.37341772151898733,0.4171779141104295,0.3975155279503106
11,0.27802690582959644,0.3376623376623376,0.3157894736842105
11,0.6963562753036436,0.669260700389105,0.6561264822134387
