seed,train_size,constrained_f1,unconstrained_f1,gap
7,100,0.4984521305976176,0.49952589631992667,-0.0010737657223090502
7,200,0.513384253012757,0.5145027592293302,-0.0011185062165731674
7,400,0.5080590394303682,0.5148958185969821,-0.006836779166613849
7,600,0.5016878187561861,0.5118411124278273,-0.010153293671641195
11,100,0.5000419380416243,0.5040971935169699,-0.004055255475345576
11,200,0.5076236549508321,0.5112864189462667,-0.003662763995434637
11,400,0.5085819055302543,0.508231376274951,0.00035052925530332235
11,600,0.507492659153723,0.5079401752367125,-0.0004475160829895408
